ID,Column Name,Justification
421,Country/Region,Typo or outlier
465,Country/Region,Typo or outlier
475,Country/Region,Typo or outlier
476,Country/Region,Typo or outlier
625,Country/Region,Typo or outlier
673,Country/Region,Typo or outlier
693,Country/Region,Typo or outlier
702,Country/Region,Typo or outlier
803,Country/Region,Typo or outlier
820,Country/Region,Typo or outlier
912,Country/Region,Typo or outlier
1040,Country/Region,Typo or outlier
1063,Country/Region,Typo or outlier
1169,Country/Region,Typo or outlier
1234,Country/Region,Typo or outlier
1238,Country/Region,Typo or outlier
1382,Country/Region,Typo or outlier
1397,Country/Region,Typo or outlier
1430,Country/Region,Typo or outlier
1499,Country/Region,Typo or outlier
1538,Country/Region,Typo or outlier
1592,Country/Region,Typo or outlier
1600,Country/Region,Typo or outlier
1672,Country/Region,Typo or outlier
1703,Country/Region,Typo or outlier
1864,Country/Region,Typo or outlier
1910,Country/Region,Typo or outlier
1945,Country/Region,Typo or outlier
1967,Country/Region,Typo or outlier
2021,Country/Region,Typo or outlier
2037,Country/Region,Typo or outlier
2090,Country/Region,Typo or outlier
2231,Country/Region,Typo or outlier
2280,Country/Region,Typo or outlier
2325,Country/Region,Typo or outlier
2357,Country/Region,Typo or outlier
2359,Country/Region,Typo or outlier
2442,Country/Region,Typo or outlier
2589,Country/Region,Typo or outlier
2789,Country/Region,Typo or outlier
2826,Country/Region,Typo or outlier
2953,Country/Region,Typo or outlier
3037,Country/Region,Typo or outlier
3103,Country/Region,Typo or outlier
3224,Country/Region,Typo or outlier
3232,Country/Region,Typo or outlier
3256,Country/Region,Typo or outlier
3272,Country/Region,Typo or outlier
3344,Country/Region,Typo or outlier
3384,Country/Region,Typo or outlier
3428,Country/Region,Typo or outlier
3458,Country/Region,Typo or outlier
3465,Country/Region,Typo or outlier
3539,Country/Region,Typo or outlier
3579,Country/Region,Typo or outlier
3615,Country/Region,Typo or outlier
3645,Country/Region,Typo or outlier
3662,Country/Region,Typo or outlier
3753,Country/Region,Typo or outlier
3792,Country/Region,Typo or outlier
3855,Country/Region,Typo or outlier
3872,Country/Region,Typo or outlier
3910,Country/Region,Typo or outlier
3947,Country/Region,Typo or outlier
3961,Country/Region,Typo or outlier
4011,Country/Region,Typo or outlier
4117,Country/Region,Typo or outlier
4125,Country/Region,Typo or outlier
4150,Country/Region,Typo or outlier
4171,Country/Region,Typo or outlier
4174,Country/Region,Typo or outlier
4231,Country/Region,Typo or outlier
4311,Country/Region,Typo or outlier
4341,Country/Region,Typo or outlier
4373,Country/Region,Typo or outlier
4389,Country/Region,Typo or outlier
4437,Country/Region,Typo or outlier
4461,Country/Region,Typo or outlier
4480,Country/Region,Typo or outlier
4492,Country/Region,Typo or outlier
4503,Country/Region,Typo or outlier
4512,Country/Region,Typo or outlier
4526,Country/Region,Typo or outlier
4539,Country/Region,Typo or outlier
4610,Country/Region,Typo or outlier
4633,Country/Region,Typo or outlier
4638,Country/Region,Typo or outlier
4657,Country/Region,Typo or outlier
4666,Country/Region,Typo or outlier
4710,Country/Region,Typo or outlier
4743,Country/Region,Typo or outlier
4773,Country/Region,Typo or outlier
4781,Country/Region,Typo or outlier
4817,Country/Region,Typo or outlier
4851,Country/Region,Typo or outlier
4868,Country/Region,Typo or outlier
4880,Country/Region,Typo or outlier
4889,Country/Region,Typo or outlier
4896,Country/Region,Typo or outlier
4901,Country/Region,Typo or outlier
5030,Country/Region,Typo or outlier
5046,Country/Region,Typo or outlier
5097,Country/Region,Typo or outlier
5126,Country/Region,Typo or outlier
5181,Country/Region,Typo or outlier
5184,Country/Region,Typo or outlier
5223,Country/Region,Typo or outlier
5242,Country/Region,Typo or outlier
